C00001	丂
C00274	𠍯
C00275	㑼
C00276	𠍫
C00277	傪
C00278	㑾
C00279	㑿
C00280	𠍲
C00281	𠍵
C00282	僐
C00283	僯
C00284	僒
C00285	㒅
C00286	僣
C00287	㒈
C00288	僙
C00289	𠎮
C00290	僜
C00291	僘
C00292	㒂
C00293	僠
C00294	𠍹
C00295	㒎
C00296	㒄
C00297	𠍱
C00298	僟
C00299	𠎳
C00300	𠎙
C00301	㒕
C00302	僺
C00303	㒓
C00304	儊
C00305	𠎸
C00306	㒑
C00307	𠏖
C00308	儅
C00309	𠏃
C00310	𠏤
C00311	𠏀
C00312	㒔
C00313	㒒
C00314	𠏢
C00315	𠐉
C00316	𠎷
C00317	𠎿
C00318	𠏈
C00319	𠏇
C00320	𠏨
C00321	𠏰
C00322	儝
C00323	𠏴
C00324	𠏫
C00325	𠐆
C00326	𠏭
C00327	儖
C00328	㒛
C00329	㒊
C00330	儙
C00331	㒜
C00332	𠏮
C00333	𠏩
C00334	㒚
C00335	𠐀
C00336	㒙
C00337	儣
C00338	𠐊
C00339	㒝
C00340	儩
C00341	𠐍
C00342	𠐌
C00343	𠐡
C00344	𠐋
C00345	儨
C00346	儯
C00347	𠐵
C00348	儭
C00349	㒟
C00350	𠐶
C00351	𠐲
C00352	儮
C00353	𠐺
C00354	㒠
C00355	𠐻
C00356	𠑅
C00357	𠑄
C00358	𠐾
C00359	𠐼
C00360	𠐿
C00361	㒡
C00362	𠐽
C00363	㒤
C00364	𠑑
C00365	㒦
C00366	𠑛
C00367	儶
C00368	㒥
C00369	𠑙
C00370	𠑟
C00371	𠑩
C00372	𠑯
C00373	𠑪
C00374	㒩
C00375	儾
C00376	𠑲
C00377	儿
C00378	𠑹
C00379	𠒀
C00380	兓
C00381	𠒐
C00382	𠒢
C00383	兟
C00384	𠒵
C00385	𠒸
C00386	𠒿
C00387	𠓌
C00388	𠓏
C00389	𠓗
C00390	𠓝
C00391	𠓜
C00392	𠓤
C00393	㒴
C00394	𠓧
C00395	𠓪
C00396	𠓫
C00397	𠓭
C00398	𠓷
C00399	𠓶
C00400	𠓽
C00401	𠔂
C00402	𠔆
C00403	𠔌
C00404	㒸
C00405	𠔕
C00406	𠔠
C00407	𠔨
C00408	𠔯
C00409	𠔶
C00410	𠔼
C00411	𠕊
C00412	𠕄
C00413	𠕓
C00414	𠕖
C00415	𠕟
C00416	𠕠
C00417	㒻
C00418	㒼
C00419	㒽
C00420	㒾
C00421	𠕦
C00422	𠕧
C00423	𠕭
C00424	𣌅
C00425	㒿
C00426	𠕳
C00427	𠕻
C00428	𠖄
C00429	冟
C00430	冣
C00431	𠖓
C00432	㓃
C00433	㓄
C00434	𠖩
C00435	𠖫
C00436	㓅
C00437	冭
C00438	𠖶
C00439	㓈
C00440	冹
C00441	𠖹
C00442	𠖷
C00443	㓋
C00444	冿
C00445	㓊
C00446	㓉
C00447	𠗂
C00448	㓌
C00449	冾
C00450	𠗆
C00451	凁
C00452	𠗌
C00453	𠗈
C00454	𠗉
C00455	𠗍
C00456	𠗛
C00457	𠗊
C00458	㓎
C00459	𠗋
C00460	㓏
C00461	𠗚
C00462	𠗙
C00463	㓑
C00464	㓐
C00465	凇
C00466	𠗘
C00467	凈
C00468	𠗝
C00469	凎
C00470	𠗥
C00471	凐
C00472	㓓
C00473	𠗨
C00474	𠗵
C00475	𠗳
C00476	𠗶
C00477	凕
C00478	凓
C00479	𠗴
C00480	𠗲
C00481	㓔
C00482	𠗻
C00483	𠗾
C00484	𠗼
C00485	𠗽
C00486	㓖
C00487	凗
C00488	𠗿
C00489	𠗺
C00490	𠘆
C00491	𠘌
C00492	凚
C00493	𠘋
C00494	𠘊
C00495	凙
C00496	𠘅
C00497	凞
C00498	𠘘
C00499	𩇟
C00500	𠘖
C00501	𠘞
C00502	𠘝
C00503	𠘟
C00504	𠘢
C00505	𠘣
C00506	𠘥
C00507	𠘧
C00508	𠘳
C00509	𠘱
C00510	𠫨
C00511	𠙈
C00512	㓘
C00513	凵
C00514	𠙶
C00515	𠙺
C00516	𠚆
C00517	𠚘
C00518	𥎐
C00519	𠚞
C00520	𠚟
C00521	刅
C00522	𠚧
C00523	𠚥
C00524	𠚨
C00525	㓚
C00526	𠚯
C00527	𠚻
C00528	𠚭
C00529	𠚮
C00530	𠚱
C00531	𠚽
C00532	𠚷
C00533	刔
C00534	𠚺
C00535	刏
C00536	𠛃
C00537	刐
C00538	𠚹
C00539	𠚼
C00540	𠛀
C00541	㓞
C00542	刕
C00543	𠛑
C00544	𠛥
C00545	𠛘
C00546	𠛖
C00547	刡
C00548	𠛚
C00549	㓟
C00550	𠛙
C00551	㓠
C00552	𠛕
C00553	刢
C00554	𠛦
C00555	𠛎
C00556	𠛔
C00557	𠛓
C00558	𠛒
C00559	刣
C00560	㓤
C00561	刯
C00562	𠛵
C00563	𠜉
C00564	𠛸
C00565	㓣
C00566	𠛪
C00567	㓡
C00568	𠛨
C00569	𠛻
C00570	𠛩
C00571	𠛫
C00572	㓢
C00573	𠛶
C00574	𠛮
C00575	剅
C00576	𠜘
C00577	𠜒
C00578	𠜙
C00579	𠜐
C00580	剈
C00581	𠜖
C00582	㓧
C00583	㓩
C00584	𠜑
C00585	𠜦
C00586	㓬
C00587	𠜻
C00588	𠝙
C00589	𠜲
C00590	𠝛
C00591	剘
C00592	𠝚
C00593	剢
C00594	𠜹
C00595	𠜴
C00596	𠝄
C00597	𠜵
C00598	𠜳
C00599	𠜼
C00600	𠝘
C00601	𠝪
C00602	𠜱
C00603	𠝠
C00604	𠝩
C00605	𠝞
C00606	𠝝
C00607	㓴
C00608	𠝟
C00609	㓳
C00610	㓭
C00611	㓵
C00612	剮
C00613	剨
C00614	𠝤
C00615	𠝢
C00616	㓱
C00617	㓲
C00618	𠝨
C00619	𠞊
C00620	𠞀
C00621	𠞉
C00622	㓹
C00623	𠝿
C00624	𠞈
C00625	𠞅
C00626	㓺
C00627	剶
C00628	𠞎
C00629	𠞏
C00630	𠞃
C00631	𠋴
C00632	𠞆
C00633	𠞄
C00634	𠞤
C00635	𠞬
C00636	𠞩
C00637	𠞯
C00638	𠞱
C00639	剾
C00640	㓼
C00641	𠞮
C00642	剹
C00643	𠞭
C00644	㓽
C00645	𠞿
C00646	𠞾
C00647	𠞧
C00648	𠟈
C00649	𠞪
C00650	𠟃
C00651	㔂
C00652	𠟂
C00653	𠟍
C00654	𠟋
C00655	㔄
C00656	𠟕
C00657	㔆
C00658	㔅
C00659	𠟉
C00660	㓾
C00661	㔁
C00662	㔇
C00663	𠟒
C00664	㔀
C00665	𠟌
C00666	𠟗
C00667	𠟓
C00668	𠟅
C00669	𠟊
C00670	㔃
C00671	㔊
C00672	劆
C00673	𠟨
C00674	𠟦
C00675	𠟩
C00676	𠟰
C00677	𠟪
C00678	𠟧
C00679	𠟼
C00680	𠟺
C00681	𠠄
C00682	㔌
C00683	㔋
C00684	劐
C00685	𠠁
C00686	𠠃
C00687	㔍
C00688	𠠂
C00689	𠠎
C00690	𠠐
C00691	𠠏
C00692	㔏
C00693	𠠍
C00694	劕
C00695	𠠗
C00696	𠠜
C00697	𠠝
C00698	𠠠
C00699	㔎
C00700	㔒
C00701	𠠪
C00702	𠠮
C00703	𠠯
C00704	劜
C00705	𠠳
C00706	𠠸
C00707	㘞
C00708	𠠶
C00709	㔓
C00710	𠠷
C00711	劥
C00712	𠠹
C00713	㔕
C00714	劧
C00715	劤
C00716	𠠻
C00717	𠡁
C00718	㔗
C00719	𠡃
C00720	劯
C00721	𠡄
C00722	劮
C00723	劰
C00724	劷
C00725	㔙
C00726	劸
C00727	劻
C00728	𠡒
C00729	劶
C00730	劺
C00731	𠡔
C00732	𠡑
C00733	劽
C00734	勆
C00735	𠡟
C00736	勀
C00737	𠡢
C00738	勂
C00739	𠡞
C00740	𠡡
C00741	勏
C00742	𠡯
C00743	𠡭
C00744	㔝
C00745	𠡲
C00746	𠡰
C00747	𠡱
C00748	㔞
C00749	𠡮
C00750	勓
C00751	㔠
C00752	𠡻
C00753	𠢆
C00754	𠢉
C00755	𠢇
C00756	𠢅
C00757	㔡
C00758	勜
C00759	𠢈
C00760	𠢔
C00761	𠢓
C00762	𠢙
C00763	𠢕
C00764	勬
C00765	勭
C00766	𠢢
C00767	𠢥
C00768	𠢣
C00769	勫
C00770	𠢡
C00771	勪
C00772	勨
C00773	𠢦
C00774	𠢠
C00775	𠢤
C00776	勯
C00777	𠢱
C00778	𠢳
C00779	勮
C00780	𠢴
C00781	𠢰
C00782	𠢲
C00783	勶
C00784	㔦
C00785	㔤
C00786	𠢹
C00787	𠢷
C00788	㔣
C00789	㔥
C00790	𠢺
C00791	𠣀
C00792	勷
C00793	𠣅
C00794	𠣄
C00795	𠣇
C00796	𠣉
C00797	𠣊
C00798	勽
C00799	𠣌
C00800	勼
C00801	𠣑
C00802	𠣏
C00803	𠣒
C00804	𠣖
C00805	匉
C00806	𠣗
C00807	匋
C00808	匌
C00809	𠣘
C00810	𠣟
C00811	𠣰
C00812	匎
C00813	𠣤
C00814	𠣫
C00815	𠣹
C00816	𠣱
C00817	㔨
C00818	𠣳
C00819	㔩
C00820	匒
C00821	匑
C00822	㔪
C00823	𠣺
C00824	𠣿
C00825	𠣾
C00826	𠤀
C00827	𠤄
C00828	𠤊
C00829	𠤏
C00830	𠤓
C00831	𠤗
C00832	匚
C00833	匟
C00834	𠤮
C00835	𠤰
C00836	匤
C00837	𠤴
C00838	㔯
C00839	𠤹
C00840	𠤺
C00841	匨
C00842	𠥁
C00843	𠤼
C00844	𠤿
C00845	𠥉
C00846	𠥌
C00847	㔱
C00848	匬
C00849	𠥐
C00850	㔴
C00851	𠥖
C00852	𠥙
C00853	㔵
C00854	𠥜
C00855	𠥝
C00856	𠥞
C00857	𠥢
C00858	𠥦
C00859	㔶
C00860	匸
C00861	𠥮
C00862	医
C00863	𠥰
C00864	𠥵
C00865	㔸
C00866	卂
C00867	㔹
C00868	𠥽
C00869	𠥾
C00870	𠦌
C00871	𠦈
C00872	𠦒
C00873	𠦘
C00874	𣥥
C00875	卙
C00876	𠦫
C00877	𠦬
C00878	𠦪
C00879	𠧀
C00880	卟
C00881	𠧙
C00882	𠧛
C00883	𠧚
C00884	𠧟
C00885	𠭉
C00886	𠧫
C00887	𠧪
C00888	𠧩
C00889	𠧵
C00890	𠨆
C00891	卩
C00892	𠁾
C00893	𠨎
C00894	𠨍
C00895	𠨘
C00896	卲
C00897	卶
C00898	𠨚
C00899	𠨠
C00900	卾
C00901	𠨢
C00902	𠨥
C00903	𠨬
C00904	厃
C00905	𠨭
C00906	𠨲
C00907	𠨵
C00908	㕃
C00909	厊
C00910	㕄
C00911	𠨺
C00912	𠨻
C00913	𠨸
C00914	𠨹
C00915	𠨴
C00916	㕇
C00917	㕆
C00918	㕅
C00919	厏
C00920	𠩁
C00921	𠩃
C00922	厔
C00923	𠩏
C00924	𠩎
C00925	𠩗
C00926	厙
C00927	㕊
C00928	𠩘
C00929	厘
C00930	𠩪
C00931	㕌
C00932	𠩩
C00933	𠩲
C00934	𠩫
C00935	㕋
C00936	𠪆
C00937	𠩿
C00938	𠩺
C00939	㕎
C00940	厧
C00941	𠪇
C00942	𠪑
C00943	𠪙
C00944	𠪒
C00945	𠪚
C00946	𠪟
C00947	㕒
C00948	𠪮
C00949	𠪯
C00950	㕐
C00951	厱
C00952	𠪺
C00953	厴
C00954	𠫌
C00955	厶
C00956	𠫓
C00957	厸
C00958	厽
C00959	叀
C00960	𠫳
